Anvaya_no	word		sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	पिशङ्ग-मौञ्जी-युजम् 	1	पिशङ्गमौञ्जीयुजम् 	पिशङ्ग-मौञ्जी-युज्{पुं}{2;एक}/युज{नपुं}{1;एक}/युज{नपुं}{2;एक} 	पिशङ्ग-मौञ्जी-युज्{पुं}{2;एक} 	विशेषणम्,5	पीला वर्ण मूंज की घास से बना कटीसूत्र से बन्धा	yellow coloured waist band	<<पिशङ्ग-मौञ्जी>K3-युक्>U****	
2	अर्जुनच्छविं 	2	अर्जुनच्छविं 	अर्जुनच्छवि{पुं}{2;एक}/अर्जुनच्छवि{स्त्री}{2;एक} 	अर्जुनच्छवि{स्त्री}{2;एक} 	विशेषणम्,5	सफेद काँति को 	fair complexion	<अर्जुन-छवि>B6	
3	अञ्जन-द्युति 	5	अञ्जन-द्युति 	अञ्जन-द्युति{पुं}/द्युति{स्त्री}/द्युति{नपुं}{1;एक}/द्युति{नपुं}{2;एक} 	अञ्जन-द्युति{स्त्री}{2;एक}	विशेषणम्,5	काजल का वर्ण	shining like collyrium	<अञ्जन-द्युति>B6	
4	एणाजिनम् 	4	एणाजिनम् 	एणाजिन{नपुं}{1;एक}/एणाजिन{नपुं}{2;एक} 	एणाजिन{नपुं}{2;एक} 	विशेषणम्,5	कृष्णमृग की चर्म	deer skin	<एण-अजिन्>T6	
5	वसानं 	3	वसानं 	वसान{पुं}{2;एक}/वसान{नपुं}{1;एक}/वसान{नपुं}{2;एक} 	वस्2{कृत्_प्रत्ययः:शानच्;वसँ;अदादिः;नपुं}{2;एक} 	विशेषणम्,6	ढकता_हुआ 	possessed of		
6	सुवर्णसूत्र-आकलित-अधर-अम्बराम् 	6	सुवर्णसूत्राकलिताधराम्बरां 	सुवर्णसूत्र-आकलित-अधर-अम्बरा{स्त्री}{2;एक} 	सुवर्णसूत्र-आकलित-अधर-अम्बरा{स्त्री}{2;एक} 	विशेषणम्,8	सुवर्ण करधनी से बन्धा	bound with golden girdle	<<<सुवर्ण-सूत्र>T6-आकलितं>T3-अधराम्बरं>B6	
7	शितिवाससः 	8	शितिवाससः 	शितिवासस्{पुं}{1;बहु}/शितिवासस्{पुं}{2;बहु}/शितिवासस्{पुं}{5;एक}/शितिवासस्{पुं}{6;एक} 	शितिवासस्{पुं}{6;एक} 	षष्ठीसम्बन्धः,8 	बलराम_की 	of Balarāma	<शिति-वास>B6	
8	तनुं 	9	तनुं 	तनु{पुं}{2;एक}/तनु{स्त्री}{2;एक} 	तनु{स्त्री}{2;एक} 	विशेषणम्,9	शरीर_को 	body 		
9	विडम्बयन्तम् 	7	विडम्बयन्तम् 	विडम्ब{पुं}{2;एक}/{कृत्_प्रत्ययः:शतृ;{पुं}{2;एक} 	विडम्ब{कृत्_प्रत्ययः:शतृ;{पुं}{2;एक} 	विशेषणम्,11	नकल करते हुए	resembling		
10	(अमुं)	0	अमुं	अदस्{पुं}{2;एक}	अदस्{पुं}{2;एक}	विशेषणम्,11	उसको	him		
11	(नारदः)	0	नारदः	नारद{पुं}{1;एक}	नारद{पुं}{1;एक}	प्रतियोगी,12	नारद	Sage Nārada		
12	(इति)	0	इति	इति{अव्य}	इति{अव्य}	अनुयोगी,14	ऐसा	thus		
13	(सः)	0	सः	तद्{पुं}{1;एक}	तद्{पुं}{1;एक}	कर्ता,15	वह	he		
14	(अबोधि)	0	अबोधि	बुध्1{कर्मणि;लुङ्;प्र;एक;आत्मनेपदी;बुधँ;भ्वादिः}/बुध्2{कर्मणि;लुङ्;प्र;एक;आत्मनेपदी;बुधिँर्;भ्वादिः}/बुध्3{कर्तरि;लुङ्;प्र;एक;आत्मनेपदी;बुधँ;दिवादिः}/बुध्3{कर्मणि;लुङ्;प्र;एक;आत्मनेपदी;बुधँ;दिवादिः}. 	बुध्3{कर्तरि;लुङ्;प्र;एक;आत्मनेपदी;बुधँ;दिवादिः}. 	0	जाना	understood		सकर्मककर्तरि
