	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	नवान् 	1	नवान् 	नव{पुं}{2;बहु}/नवत्{पुं}{1;एक} 	नव{पुं}{2;बहु}	विशेषणम्, 3	नया	new		
2	बृहतः 	3	बृहतः 	बृहत्{पुं}{1;बहु}/बृहत्{पुं}{2;बहु}/बृहत्{पुं}{5;एक}/बृहत्{पुं}{6;एक}/बृहत्{स्त्री}{1;बहु}/बृहत्{स्त्री}{2;बहु}/बृहत्{स्त्री}{5;एक}/बृहत्{स्त्री}{6;एक}/बृहत्{नपुं}{5;एक}/बृहत्{नपुं}{6;एक} 	बृहत्{पुं}{2;बहु} 	विशेषणम्, 3	बडे	huge		
3	पयोधरान् 	4	पयोधरान् 	पयोधर{पुं}{2;बहु} 	पयोधर{पुं}{2;बहु} 	कर्म,6	मेघों को	Water-filled clouds	<पयो-धरः>U	
4	अधोऽधः 	2	अधोऽधः 	अधोऽधः{अव्य} 	अधोऽधः{अव्य} 	सम्बन्धः,5	नीचे	below	<<समूढ-<कर्पूर-पराग>K3>T6-पाण्डुरः>K4	
5	(स्थितम्)	0	स्थितम्	स्थित{पुं}{2;एक}/स्थित{नपुं}{1;एक}/स्थित{नपुं}{2;एक}. 	स्थित{नपुं}{1;एक} 	0	स्थित	remained		अकर्मककर्तरि
6	समूढ-कर्पूर-पराग-पाण्डुरम् 	5	समूढकर्पूरपरागपाण्डुरं 	समूढ-कर्पूर-पराग-पाण्डुर{पुं}{2;एक}/पाण्डुर{नपुं}{1;एक}/पाण्डुर{नपुं}{2;एक} 	समूढ-कर्पूर-पराग-पाण्डुर{पुं}{2;एक} 	विशेषणम्,13	कर्पूर के समान सफेद	white like the collection of camphor powder		
7	क्षणं 	6	क्षणं 	क्षण{पुं}{2;एक}/क्षण{नपुं}{1;एक}/क्षण{नपुं}{2;एक} 	क्षण{पुं}{2;एक} 	विशेषणम्, 11	तब	at that point of time		
8	क्षण-उत्क्षिप्त-गजेन्द्र-कृत्तिना 	7	क्षणोत्क्षिप्तगजेन्द्रकृत्तिना 	क्षण-उत्क्षिप्त-गजेन्द्र-कृत्ति{पुं}{3;एक}/कृत्ति{नपुं}{3;एक} 	क्षण-उत्क्षिप्त-गजेन्द्र-कृत्ति{पुं}{3;एक} 	विशेषणम्, 10	जिनका हाथी के चर्म से बनाया गया वस्त्र ताण्डव के समय ऊपर उढता है 	whose elephant's skin garment flies up during his dance	<<क्षण-उत्क्षिप्ता>T7-<गजेन्द्र-आकृतिः>T6>Bs3	
9	भूतिसितेन 	9	भूतिसितेन 	भूतिसित{पुं}{3;एक}/भूतिसित{नपुं}{3;एक} 	भूतिसित{पुं}{3;एक} 	विशेषणम्, 10	भस्मधारी से	who is fair	<भूति-सित>Bs3	
10	शम्भुना 	10	शम्भुना 	शम्भु{पुं}{3;एक} 	शम्भु{पुं}{3;एक}	उपपदविभक्ति, 11	शिव से	by lord śiva		
11	स्फुट-उपमम्. 	8	स्फुटोपमम् 	स्फुट-उपम{पुं}{2;एक}/उपम{नपुं}{1;एक}/उपम{नपुं}{2;एक}. 	स्फुट-उपम{पुं}{2;एक}	विशेषणम्, 13	स्पष्ट जैसा	clearly like	<स्फुट-उपमम्>Bs6	
12	(अमुम्)	0	अमुम्	अदस्{पुं}{2;एक}	अदस्{पुं}{2;एक}	विशेषणम्, 13	उस_को	him		
13	(नारदः)	0	नारदः	नारद{पुं}{1;एक}	नारद{पुं}{1;एक}	प्रतियोगी,14	नारद मुनि	Sage Nārada		
14	(इति)	0	इति	इति{अव्य}	इति{अव्य}	अनुयोगी,15	ऐसा	thus		
15	(सः)	0	सः	तद्{पुं}{1;एक}	तद्{पुं}{1;एक}	कर्ता, 16	उसने	he		
16	(अबोधि)	0	अबोधि	बुध्1{कर्मणि;लुङ्;प्र;एक;आत्मनेपदी;बुधँ;भ्वादिः}/बुध्2{कर्मणि;लुङ्;प्र;एक;आत्मनेपदी;बुधिँर्;भ्वादिः}/बुध्3{कर्तरि;लुङ्;प्र;एक;आत्मनेपदी;बुधँ;दिवादिः}/बुध्3{कर्मणि;लुङ्;प्र;एक;आत्मनेपदी;बुधँ;दिवादिः}. 	बुध्3{कर्तरि;लुङ्;प्र;एक;आत्मनेपदी;बुधँ;दिवादिः}. 	0	जाना.	understood.		सकर्मककर्तरि
